id,name
5ea5d2eb-8a61-45f5-ac69-6824219d6c8f,OSX-WIN7-TEST
66fcc8a4-5b9a-4caa-ac86-cd3ca9b26ff0,OSX-WIN7
dbc9586a-10d1-457f-85d4-90682c447bbe,Lucas-Malware MacBook Pro
7acfc69a-c1cb-4a69-b894-51f4a47f1dc5,Lucas-Mac
0e4b680f-a433-4e8b-af4a-439ce519239d,pas-centos.localdomain 
10ab3e95-c870-4bd8-bbb7-932f5eb950c0,MacBookPro
aee578e3-9a9d-4f1e-8329-9b3a81ecc5c2,CS-OPTICS1
89e0d0e1-fc68-47a6-b87c-2cb370bb1be9,centos.testlab
91ed83b4-a413-4e14-828d-edd71689bb86,SHI-CPWO
9f22c020-eccc-48a8-93ee-b18d512a3677,SHI-CPDP
a8644808-8ee8-43a0-9d93-b9cb1c025e7e,SHI-FBTD
f0c414dc-5471-4481-906f-ee799399e5ec,SHI-DEVC
43766ed8-7ab1-452a-ab23-3e96f2159d27,SHI-APPC
2a3d2d5f-53e0-4265-8711-f051659c4ae2,INOUE-PC
bc394153-da74-4b27-a6d3-d94e335729e9,CYL-DEMO4-JP-HT
46a6dde7-0f6f-416d-af55-60bbf63a5ee7,OPT-PT-MM-02
b798691c-b4e9-4355-98de-d5d94aab1dee,SAWOYA-DEMO-RIG
f4ec608f-ebb8-4d2d-853a-29f54f9fe222,JSMAC-PROT-VM
e2159372-d519-4f5e-802b-7652090bcae5,AAK-CYPRO
3214ba79-8ef1-4626-8837-45e397c1232b,BMC-STAGINGHOST
1f71b6da-4f53-49c0-b319-52408a931741,EHTANDEMO
323fbb8a-d2b3-40cb-abc3-f9ff37e1f92c,PAS-WIN10
eb72c770-dae4-4fad-9142-e608f8c55a14,SW-MCAFEE-PRO-O
ae33c5ff-0b86-43e7-9aac-fe025e0c830d,BFREE-STAGING
04315247-ee79-41b6-a5e4-23314aa59a70,RRSTAGING
e8ded1c1-344e-493e-841f-f7cc4a3e5dca,BFREE-DEMO
4246c1c8-5cce-4ae2-be0a-7798798f599a,RROPTICS
db2b0372-ef5c-45b1-88a3-adf9e5c95fa3,JFMAC-OPTI-VM
edd63b3b-4d63-4e1e-b970-e0927ea9dcc5,JFMAC-PROT-VM
3b53adc4-4c03-4013-ba74-2f834fdd4ea0,ht-cent7
b6dd70cf-ef1a-432e-b861-50ef183514d0,CYLANCEWORKERPC
dc356d98-2c17-4e6a-b5d0-eb5cb7864f54,ND-WIN10-PROTEC
2f09628e-31a2-4aa9-9ed2-a83e24ad3cf1,ND-PBOB
4bafb8b4-f4a5-45eb-83e8-fef0af27894a,RRCYLANCE
93206844-911e-4773-8edd-d48211b571c7,CYLANCE
2b54f635-1bd1-47b8-bb4a-6f38ed00bac8,TESTPC4-CYLANCE
204e0e89-e63d-4cfc-b919-cb95de166319,DESKTOP-R1A53BU
f0874aed-d4f0-44e3-994f-81e79301fe3c,ND-OSLER-PAOA
9d4c283f-c8c3-40f2-b158-cf163a839869,ND-MBPROT-VM
a0863ad5-3fd7-463f-8bda-7e280d8b3256,LAURRIE-PC
5961457b-3879-40aa-844a-a90105caa84e,WIN-CVNQEV9JTAQ
872f3a72-83ec-434d-a746-fc8a971c853f,PNW-PROTECT
d9ec634f-7c0e-461e-913f-e1d3fa97ada1,WIN-63GV4JA5O6D
8884414c-d086-4aee-b8b8-27ecaf602823,BT-1370
24bbe9ec-c139-425d-96d6-dd4290ff75f1,TEST1
7d2260d6-9b06-4432-bf17-2be394066355,PNW-OPTICS
f9000dba-b1b1-4591-bc62-82189a780376,GD-WIN-SYSTEM
971117d4-5d5c-4a0f-bbf4-c0e154f363ee,RRA-PROTECTOLD
db83fd3c-6d32-4cb4-9c6c-7961f1ab8068,PNW-STAGE
0727f98a-f657-4b06-ad99-d40a3bc75a49,HALO
55cd2b80-b448-47b1-9089-4bddab022e44,MH-OPT22-W10
f681c1e1-9cc1-41e5-9ff3-e7d80450259d,CY-WIN10
37e05054-0db4-4fd4-9c1f-b1701e473a02,CY-WIN7
ec92588f-70bb-4615-b8e2-611e2104c426,RT Demo Mac
dbca7942-1d61-4b54-8901-400e5753f2c2,LAPTOP-QE46MSO3
4b4cd635-0343-496f-8de5-b4976e74629e,LAPTOP-3C74IRC3
e44dc4f4-c261-4475-8be8-95e6a9f20d11,OZDEMO
7d71b492-a957-4106-8914-9637fb785d1a,MEIN_PC
4229c1e1-6ae8-4075-b6d4-99f2cc99365f,localhost.localdomain
6757d3cd-1595-4192-a35f-bfc8083fdb19,CYL-DEMO3-JP-HT
4fcecac2-163d-4628-8b6e-6beda5f21bb5,CYL-DEMO1-JP-HT
a248f51b-d677-44e6-b251-cc41a4c50bc2,localhost.localdomain
e6ef0cf6-ef6e-459f-9e9d-a0ea6d647233,PNW-LAB01
bd32618a-a4db-4f86-ae50-0faef82e2499,ALDERMAN-1709
36bc2ee1-75aa-4dc8-8bda-11bc4f07e88c,TDWIN10-LTSB
63e7effe-3b43-4340-a55e-f1bf9d4ece2b,HOST
c4102313-55af-481f-99da-d529cc6a8a0d,IA-VM-CYLANCE01
2c4fabb4-d883-42cd-886f-053f9b490117,X60
177540cf-5680-46c6-ac37-0482e13ff367,LAPTOP-QE46MSO3
7508716a-88e5-4740-a50c-23e747824628,mh-centos.localdomain
